## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
##RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.type,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
amazon-prime-video-subscription,Amazon Prime Video,Streaming,,https://delivery-p57319-e1619941.adobeaemcloud.com/adobe/assets/urn:aaid:aem:f1ffc748-155a-4e48-bfd1-e27e036351b7,83.94,,0,,,,,,,,,,,
apple-clear-magsafe-iPhone-13-pro,Apple Clear Case with MagSafe for iPhone 13 Pro,Accessories,,https://delivery-p57319-e1619941.adobeaemcloud.com/adobe/assets/urn:aaid:aem:7ac3bc5b-16fc-4392-bcdd-8c1d0b12cd89,49.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12,Apple iPhone 12,Phones,,catalog/product/i/p/iphone-12-family-main.png,0,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Black-128GB,Apple iPhone 12-Black-128GB,Phones,,catalog/product/i/p/iphone-12-black-main.png,779.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Black-256GB,Apple iPhone 12-Black-256GB,Phones,,catalog/product/i/p/iphone-12-black-main.png,879.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Black-64GB,Apple iPhone 12-Black-64GB,Phones,,catalog/product/i/p/iphone-12-black-main.png,729.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Blue-128GB,Apple iPhone 12-Blue-128GB,Phones,,catalog/product/i/p/iphone-12-blue-main.png,779.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Blue-256GB,Apple iPhone 12-Blue-256GB,Phones,,catalog/product/i/p/iphone-12-blue-main.png,879.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Blue-64GB,Apple iPhone 12-Blue-64GB,Phones,,catalog/product/i/p/iphone-12-blue-main.png,729.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Purple-128GB,Apple iPhone 12-Purple-128GB,Phones,,catalog/product/i/p/iphone-12-purple-main.png,779.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Purple-256GB,Apple iPhone 12-Purple-256GB,Phones,,catalog/product/i/p/iphone-12-purple-main.png,879.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Purple-64GB,Apple iPhone 12-Purple-64GB,Phones,,catalog/product/i/p/iphone-12-purple-main.png,729.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Red-128GB,Apple iPhone 12-Red-128GB,Phones,,catalog/product/i/p/iphone-12-red-main.png,779.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Red-256GB,Apple iPhone 12-Red-256GB,Phones,,catalog/product/i/p/iphone-12-red-main.png,879.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-Red-64GB,Apple iPhone 12-Red-64GB,Phones,,catalog/product/i/p/iphone-12-red-main.png,729.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-White-128GB,Apple iPhone 12-White-128GB,Phones,,catalog/product/i/p/iphone-12-white-main.png,779.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-White-256GB,Apple iPhone 12-White-256GB,Phones,,catalog/product/i/p/iphone-12-white-main.png,879.99,,0,,,,,,,,,,,
apple-iphone-12/iphone-12-White-64GB,Apple iPhone 12-White-64GB,Phones,,catalog/product/i/p/iphone-12-white-main.png,729.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13,Apple iPhone 13,Phones,,catalog/product/i/p/iphone-13-family-main.png,0,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-blue-128GB,Apple iPhone 13-Blue-128GB,Phones,,catalog/product/i/p/iphone-13-blue-main.png,799.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Blue-256GB,Apple iPhone 13-Blue-256GB,Phones,,catalog/product/i/p/iphone-13-blue-main.png,899.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Blue-512GB,Apple iPhone 13-Blue-512GB,Phones,,catalog/product/i/p/iphone-13-blue-main.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Midnight-128GB,Apple iPhone 13-Midnight-128GB,Phones,,catalog/product/i/p/iphone-13-midnight-main.png,799.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Midnight-256GB,Apple iPhone 13-Midnight-256GB,Phones,,catalog/product/i/p/iphone-13-midnight-main.png,899.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Midnight-512GB,Apple iPhone 13-Midnight-512GB,Phones,,catalog/product/i/p/iphone-13-midnight-main.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Pink-128GB,Apple iPhone 13-Pink-128GB,Phones,,catalog/product/i/p/iphone-13-pink-main.png,799.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Pink-256GB,Apple iPhone 13-Pink-256GB,Phones,,catalog/product/i/p/iphone-13-pink-main.png,899.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Pink-512GB,Apple iPhone 13-Pink-512GB,Phones,,catalog/product/i/p/iphone-13-pink-main.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro,Apple iPhone 13 Pro,Phones,,catalog/product/i/p/iphone-13-pro-family-select.png,0,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Gold-128GB,Apple iPhone 13 Pro-Gold-128GB,Phones,,catalog/product/i/p/iphone-13-pro-gold-select.png,999.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Gold-1TB,Apple iPhone 13 Pro-Gold-1TB,Phones,,catalog/product/i/p/iphone-13-pro-gold-select.png,1499.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Gold-256GB,Apple iPhone 13 Pro-Gold-256GB,Phones,,catalog/product/i/p/iphone-13-pro-gold-select.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Gold-512GB,Apple iPhone 13 Pro-Gold-512GB,Phones,,catalog/product/i/p/iphone-13-pro-gold-select.png,1299.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Graphite-128GB,Apple iPhone 13 Pro-Graphite-128GB,Phones,,catalog/product/i/p/iphone-13-pro-graphite-select.png,999.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Graphite-1TB,Apple iPhone 13 Pro-Graphite-1TB,Phones,,catalog/product/i/p/iphone-13-pro-graphite-select.png,1499.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Graphite-256GB,Apple iPhone 13 Pro-Graphite-256GB,Phones,,catalog/product/i/p/iphone-13-pro-graphite-select.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Graphite-512GB,Apple iPhone 13 Pro-Graphite-512GB,Phones,,catalog/product/i/p/iphone-13-pro-graphite-select.png,1299.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Sierra Blue-128GB,Apple iPhone 13 Pro-Sierra Blue-128GB,Phones,,catalog/product/i/p/iphone-13-pro-blue-select.png,999.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Sierra Blue-1TB,Apple iPhone 13 Pro-Sierra Blue-1TB,Phones,,catalog/product/i/p/iphone-13-pro-blue-select.png,1499.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Sierra Blue-256GB,Apple iPhone 13 Pro-Sierra Blue-256GB,Phones,,catalog/product/i/p/iphone-13-pro-blue-select.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Sierra Blue-512GB,Apple iPhone 13 Pro-Sierra Blue-512GB,Phones,,catalog/product/i/p/iphone-13-pro-blue-select.png,1299.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Silver-128GB,Apple iPhone 13 Pro-Silver-128GB,Phones,,catalog/product/i/p/iphone-13-pro-silver-select.png,999.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Silver-1TB,Apple iPhone 13 Pro-Silver-1TB,Phones,,catalog/product/i/p/iphone-13-pro-silver-select.png,1499.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Silver-256GB,Apple iPhone 13 Pro-Silver-256GB,Phones,,catalog/product/i/p/iphone-13-pro-silver-select.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-pro-Silver-512GB,Apple iPhone 13 Pro-Silver-512GB,Phones,,catalog/product/i/p/iphone-13-pro-silver-select.png,1299.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Red-128GB,Apple iPhone 13-Red-128GB,Phones,,catalog/product/i/p/iphone-13-red-main.png,799.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Red-256GB,Apple iPhone 13-Red-256GB,Phones,,catalog/product/i/p/iphone-13-red-main.png,899.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Red-512GB,Apple iPhone 13-Red-512GB,Phones,,catalog/product/i/p/iphone-13-red-main.png,1099.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Starlight-128GB,Apple iPhone 13-Starlight-128GB,Phones,,catalog/product/i/p/iphone-13-starlight-main.png,799.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Starlight-256GB,Apple iPhone 13-Starlight-256GB,Phones,,catalog/product/i/p/iphone-13-starlight-main.png,899.99,,0,,,,,,,,,,,
apple-iphone-13/iphone-13-Starlight-512GB,Apple iPhone 13-Starlight-512GB,Phones,,catalog/product/i/p/iphone-13-starlight-main.png,1099.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se,Apple iPhone SE,Phones,,catalog/product/i/p/iphone-se-family.png,0,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-Black-128GB,Apple iPhone SE-Black-128GB,Phones,,catalog/product/i/p/iphone-se-black-main.png,449.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-Black-256GB,Apple iPhone SE-Black-256GB,Phones,,catalog/product/i/p/iphone-se-black-main.png,449.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-Black-64GB,Apple iPhone SE-Black-64GB,Phones,,catalog/product/i/p/iphone-se-black-main.png,399.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-Red-128GB,Apple iPhone SE-Red-128GB,Phones,,catalog/product/i/p/iphone-se-red-main.png,449.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-Red-256GB,Apple iPhone SE-Red-256GB,Phones,,catalog/product/i/p/iphone-se-red-main.png,449.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-Red-64GB,Apple iPhone SE-Red-64GB,Phones,,catalog/product/i/p/iphone-se-red-main.png,399.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-White-128GB,Apple iPhone SE-White-128GB,Phones,,catalog/product/i/p/iphone-se-white-main.png,449.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-White-256GB,Apple iPhone SE-White-256GB,Phones,,catalog/product/i/p/iphone-se-white-main.png,449.99,,0,,,,,,,,,,,
apple-iphone-se/iphone-se-White-64GB,Apple iPhone SE-White-64GB,Phones,,catalog/product/i/p/iphone-se-white-main.png,399.99,,0,,,,,,,,,,,
connect-for-wearables,Connect for Wearables,Plans,,https://delivery-p57319-e1619941.adobeaemcloud.com/adobe/assets/urn:aaid:aem:c015e75c-66b2-4bea-bc22-8e838ec3ece2,10,,0,,,,,,,,,,,
connect-max-plan,Connect MAX Plan,Plans,,https://delivery-p57319-e1619941.adobeaemcloud.com/adobe/assets/urn:aaid:aem:daf24912-583c-49cb-8411-e760152c1d2f,57,,0,,,,,,,,,,,
connect-plan,Connect Plan,Plans,,https://delivery-p57319-e1619941.adobeaemcloud.com/adobe/assets/urn:aaid:aem:6e77a89a-4db1-40ef-9d87-02a1b90421e1,47,,0,,,,,,,,,,,
essentials-plan,Essentials Plan,Plans,,catalog/product/e/s/essentials-plan.png,35,,0,,,,,,,,,,,
galaxy-s22-ultra/s22u-rugged-protection-cover-case,Samsung Rugged Protection Cover Case for Samsung Galaxy S22 Ultra,Accessories,,catalog/product/s/a/samsung-case-main.png,0,,0,,,,,,,,,,,
galaxy-s22-ultra/s22u-rugged-protection-cover-case-Navy,Samsung Rugged Protection Cover Case for Samsung Galaxy S22 Ultra-Navy,Accessories,,catalog/product/s/a/samsung-case-main.png,34.99,,0,,,,,,,,,,,
iphone-13/iphone-13-pro-starter-kit,iPhone 13 Pro Starter Kit,Accessories,,catalog/product/i/p/iphone-starter-bundle.png,,,0,,,,,,,,,,,
mastercard-giftcard,MasterCard Gift Card,Gift Cards,,catalog/product/m/a/mastercard-giftcard.png,50,,0,,,,,,,,,,,
philo-subscription,Philo,Streaming,,https://delivery-p57319-e1619941.adobeaemcloud.com/adobe/assets/urn:aaid:aem:00011fe1-76b0-47f3-94df-a990d56c3e39,15,,0,,,,,,,,,,,
samsung-45w-usb-c-wall-charger,Samsung 45W USB-C Super Fast Charging Wall Charger,Accessories,,catalog/product/s/a/samsung-wall-charger-main.png,0,,0,,,,,,,,,,,
samsung-45w-usb-c-wall-charger-Black,Samsung 45W USB-C Super Fast Charging Wall Charger-Black,Accessories,,catalog/product/s/a/samsung-wall-charger-main.png,49.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Green-128GB,Samsung Galaxy S22-Green-128GB,Phones,,catalog/product/s/2/s22-green-main.png,799.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Green-256GB,Samsung Galaxy S22-Green-256GB,Phones,,catalog/product/s/2/s22-green-main.png,849.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Phantom Black-128GB,Samsung Galaxy S22-Phantom Black-128GB,Phones,,catalog/product/s/2/s22-black-main.png,799.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Phantom Black-256GB,Samsung Galaxy S22-Phantom Black-256GB,Phones,,catalog/product/s/2/s22-black-main.png,849.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Phantom White-128GB,Samsung Galaxy S22-Phantom White-128GB,Phones,,catalog/product/s/2/s22-white-main.png,799.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Phantom White-256GB,Samsung Galaxy S22-Phantom White-256GB,Phones,,catalog/product/s/2/s22-white-main.png,849.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Pink Gold-128GB,Samsung Galaxy S22-Pink Gold-128GB,Phones,,catalog/product/s/2/s22-pink-gold-main.png,799.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-Pink Gold-256GB,Samsung Galaxy S22--Pink Gold-256GB,Phones,,catalog/product/s/2/s22-pink-gold-main.png,849.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus,Samsung Galaxy S22+,Phones,,catalog/product/s/2/s22p-green-main.png,0,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Green-128GB,Samsung Galaxy S22+ Green-128GB,Phones,,catalog/product/s/2/s22p-green-main.png,999.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Green-256GB,Samsung Galaxy S22+ Green-256GB,Phones,,catalog/product/s/2/s22p-green-main.png,1049.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Phantom Black-128GB,Samsung Galaxy S22+ Phantom Black-128GB,Phones,,catalog/product/s/2/s22p-black-main.png,999.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Phantom Black-256GB,Samsung Galaxy S22+ Phantom Black-256GB,Phones,,catalog/product/s/2/s22p-black-main.png,1049.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Phantom White-128GB,Samsung Galaxy S22+ Phantom White-128GB,Phones,,catalog/product/s/2/s22p-white-main.png,999.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Phantom White-256GB,Samsung Galaxy S22+ Phantom White-256GB,Phones,,catalog/product/s/2/s22p-white-main.png,1049.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Pink Gold-128GB,Samsung Galaxy S22+ Pink Gold-128GB,Phones,,catalog/product/s/2/s22p-pink-gold-main.png,999.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-s22/s22-plus-Pink Gold-256GB,Samsung Galaxy S22+ Pink Gold-256GB,Phones,,catalog/product/s/2/s22p-pink-gold-main.png,1049.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-watch4/watch4,Samsung Galaxy Watch4,Watches,,catalog/product/w/a/watch4-black-main.png,0,,0,,,,,,,,,,,
samsung-galaxy-galaxy-watch4/watch4-Black-16GB,Samsung Galaxy Watch4-Black-16GB,Watches,,catalog/product/w/a/watch4-black-main.png,329.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-watch4/watch4-Green-16GB,Samsung Galaxy Watch4-Green-16GB,Watches,,catalog/product/w/a/watch4-green-main.png,329.99,,0,,,,,,,,,,,
samsung-galaxy-galaxy-watch4/watch4-Silver-16GB,Samsung Galaxy Watch4-Silver-16GB,Watches,,catalog/product/w/a/watch4-silver-main.png,329.99,,0,,,,,,,,,,,
samsung-galaxy-s22,Samsung Galaxy S22,Phones,,catalog/product/s/2/s22-white-main.png,0,,0,,,,,,,,,,,
samsung-galaxy-S22-ultra,Samsung Galaxy S22 Ultra,Phones,,catalog/product/s/2/s22u-burgundy-main.png,0,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Burgundy-128GB,Samsung Galaxy S22 Ultra-Burgundy-128GB,Phones,,catalog/product/s/2/s22u-burgundy-main.png,1199.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Burgundy-256GB,Samsung Galaxy S22 Ultra-Burgundy-256GB,Phones,,catalog/product/s/2/s22u-burgundy-main.png,1299.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Burgundy-512GB,Samsung Galaxy S22 Ultra-Burgundy-512GB,Phones,,catalog/product/s/2/s22u-burgundy-main.png,1399.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Green-128GB,Samsung Galaxy S22 Ultra-Green-128GB,Phones,,catalog/product/s/2/s22u-green-main.png,1199.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Green-256GB,Samsung Galaxy S22 Ultra-Green-256GB,Phones,,catalog/product/s/2/s22u-green-main.png,1299.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Green-512GB,Samsung Galaxy S22 Ultra-Green-512GB,Phones,,catalog/product/s/2/s22u-green-main.png,1399.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Phantom Black-128GB,Samsung Galaxy S22 Ultra-Phantom Black-128GB,Phones,,catalog/product/s/2/s22u-black-main.png,1199.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Phantom Black-256GB,Samsung Galaxy S22 Ultra-Phantom Black-256GB,Phones,,catalog/product/s/2/s22u-black-main.png,1299.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Phantom Black-512GB,Samsung Galaxy S22 Ultra-Phantom Black-512GB,Phones,,catalog/product/s/2/s22u-black-main.png,1399.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Phantom White-128GB,Samsung Galaxy S22 Ultra-Phantom White-128GB,Phones,,catalog/product/s/2/s22u-white-main.png,1199.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Phantom White-256GB,Samsung Galaxy S22 Ultra-Phantom White-256GB,Phones,,catalog/product/s/2/s22u-white-main.png,1299.99,,0,,,,,,,,,,,
samsung-galaxy-S22-Ultra-Phantom White-512GB,Samsung Galaxy S22 Ultra-Phantom White-512GB,Phones,,catalog/product/s/2/s22u-white-main_1.png,1399.99,,0,,,,,,,,,,,
samsung-galaxy-z-flip3-5G,Samsung Galaxy Z Flip3 5G,Phones,,catalog/product/s/a/samsung-galaxy-flip-family.png,0,,0,,,,,,,,,,,
samsung-galaxy-z-flip3-5G-Cream-128GB,Samsung Galaxy Z Flip3 5G-Cream-128GB,Phones,,catalog/product/s/a/samsung-galaxy-flip-cream.png,999.99,,0,,,,,,,,,,,
samsung-galaxy-z-flip3-5G-Cream-256GB,Samsung Galaxy Z Flip3 5G-Cream-256GB,Phones,,catalog/product/s/a/samsung-galaxy-flip-cream.png,1049.99,,0,,,,,,,,,,,
samsung-galaxy-z-flip3-5G-Green-128GB,Samsung Galaxy Z Flip3 5G-Green-128GB,Phones,,catalog/product/s/a/samsung-galaxy-flip-green.png,999.99,,0,,,,,,,,,,,
samsung-galaxy-z-flip3-5G-Green-256GB,Samsung Galaxy Z Flip3 5G-Green-256GB,Phones,,catalog/product/s/a/samsung-galaxy-flip-green.png,1049.99,,0,,,,,,,,,,,
samsung-galaxy-z-flip3-5G-Lavender-128GB,Samsung Galaxy Z Flip3 5G-Lavender-128GB,Phones,,catalog/product/s/a/samsung-galaxy-flip-lavender.png,999.99,,0,,,,,,,,,,,
